TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2013,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,402959.688
2003,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,259584.557
2000,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,234055.762
2009,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,339285.345
2011,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,370671.992
1995,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,187487.592
2004,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,273948.892
2021,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,563937.452
2015,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,428354.652
2019,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,535946.887
2022,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,639574.447
2023,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,643595.195
2014,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,413263.078
2023,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1956344.937
1994,A,ZAF,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,290923.966
2019,A,CRI,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,116687.613
2018,A,CRI,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,106583.345
2000,A,CRI,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,31917.39
2009,A,CRI,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,56820.586
2005,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,351665.953
2010,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,480532.035
2013,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,585888.316
2009,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,454401.715
2011,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,524596.546
1998,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,211617.705
2001,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,237701.136
2016,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,457782.62
2018,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,500696.449
2020,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,521841.689
2022,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1070755.176
2014,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,618792.732
2012,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,548251.361
2006,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,386866.635
2007,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,424094.282
2020,A,COL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,785737.564
