TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
1991,A,AUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,17284.0
1990,A,DEU_F,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,63254.0
1995,A,SVN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1988.689
1995,A,SVK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5363.357
1995,A,PRT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10026.176
1995,A,POL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,38275.0
1995,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4359.0
1995,A,NLD,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,15459.0
1995,A,LUX,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,409.512
1995,A,LTU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3629.1
1995,A,LVA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,2484.538
1995,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,45093.0
1995,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,125436.0
1995,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56844.3
1995,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,267.4
1995,A,HUN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10328.965
1995,A,GRC,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10562.164
1995,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,81308.0
1995,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5107.8
1995,A,EST,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1448.1
1995,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5230.345
1995,A,CZE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10330.759
1995,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3430.694
1995,A,CHL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,14394.94
1995,A,CAN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,29302.311
1995,A,AUT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,7948.278
1994,A,ZAF,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,39382.4028
1994,A,SGP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3419.0
1994,A,RUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,148407.9
1994,A,IDN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,187447.845
1994,A,CHN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1198500.0
1994,A,CMR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,13231.0
1994,A,USA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,263455.0
1994,A,TUR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,58837.0
1994,A,CHE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,7036.852
1994,A,SWE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,8785.25
1994,A,ESP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,39661.478144
1994,A,PRT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,9997.8
1994,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4337.0
1994,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,44642.0
1994,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,125116.0
1994,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56843.4
1994,A,IRL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3586.0
1994,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,266.0
1994,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,81147.0
1994,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5088.3
1994,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5205.613
1994,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3333.719
1994,A,CHL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,14151.708
1994,A,CAN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,29000.663
1994,A,AUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,17805.5
1993,A,ZAF,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,38560.9994
1993,A,SGP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3313.0
1993,A,RUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,148458.78
1993,A,IDN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,184864.386
1993,A,CHN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1185170.0
1993,A,CMR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,12864.0
1993,A,USA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,260282.0
1993,A,TUR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,57913.0
1993,A,CHE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,6988.858
