Country,GDP per capita,GDP per capita growth rates,Total tax revenue,Taxes on goods and services,"Taxes on income, profits, and capital gains",Taxes on property,Social security contributions
Argentina,20361.713155092923,4.898524717750731,24.320235294117648,12.88573529411765,4.04285294117647,2.230911764705883,4.732558823529412
Australia,38802.58414526562,4.426438135951583,28.11090909090909,7.782030303030304,16.22990909090909,2.643363636363637,0.0
Austria,39545.285260230674,4.023840396690069,41.979617647058824,12.049970588235297,11.968764705882352,0.6266764705882353,14.291764705882354
Belgium,37371.22864690804,4.076164590234075,43.22388235294118,10.969794117647057,15.80985294117647,2.656117647058824,13.780529411764704
Brazil,12472.711184108812,2.903677191599428,30.05847058823529,13.907588235294115,6.363823529411765,1.5869117647058824,7.569323529411764
Bulgaria,15840.315437643885,6.055498271439872,29.172241379310343,13.958827586206896,6.376448275862069,0.44410344827586207,8.220310344827586
Cabo Verde,6810.896318287463,2.321731084976113,17.55636363636364,11.006636363636364,5.527272727272727,0.8864545454545456,0.13596969696969696
Cameroon,2910.6796753862377,4.084745772228051,11.714599999999999,7.0543,3.3437333333333332,0.12623333333333334,0.8917333333333333
Canada,37349.842381739,3.6407419930888847,33.491441176470595,8.073823529411767,16.070617647058825,3.6973529411764705,4.786676470588235
Chile,15965.75793569542,6.133116139601585,19.787764705882353,11.124029411764708,6.300323529411764,1.1512647058823529,1.3530588235294116
China (People’s Republic of),8535.683891030661,10.375632090486143,18.303470588235292,10.01858823529412,5.193999999999999,1.377470588235294,5.825399999999999
Colombia,10708.621728480472,4.521073695724326,17.781529411764705,7.746823529411764,5.261617647058824,1.3468235294117648,2.237941176470588
Costa Rica,13305.46310339186,5.175047660586172,21.90314705882353,9.241264705882353,3.493088235294118,0.31291176470588233,6.889
Croatia,20796.694170101942,6.427691062240714,38.14671428571428,18.96075,5.928999999999999,1.1163214285714285,12.14057142857143
Czechia,26565.295692644246,4.481402949206915,33.50416129032258,10.775290322580647,7.694774193548388,0.4116451612903226,14.592225806451614
Denmark,39743.747674940416,4.3542598289775265,45.91373529411764,15.042676470588235,28.654441176470588,1.7924117647058826,0.13079411764705884
Estonia,22384.39776459388,7.416884915986812,32.187,12.96951724137931,7.76348275862069,0.29058620689655174,11.163206896551722
Finland,35190.17302980794,3.8408293433761163,43.099676470588236,13.713264705882354,15.978470588235291,1.1809999999999998,12.182676470588234
France,33703.34235727865,3.7474436233100024,43.79185294117647,11.604411764705882,9.834882352941177,3.396029411764706,16.431676470588236
Georgia,14499.287334875715,9.605563917474795,19.81513793103448,11.035620689655174,6.474379310344828,0.7600000000000001,1.1524137931034484
Germany,38632.70622249394,3.8883843627715096,36.63376470588235,10.59435294117647,11.06344117647059,0.9603235294117646,14.008823529411766
Greece,24138.255585218205,3.636922760483176,33.2095,13.136235294117647,7.4634117647058815,2.230088235294118,10.355
Hong Kong (China),41874.913456191774,4.30776956791339,13.78792857142857,1.6236428571428572,8.285499999999999,3.464785714285714,0.0
Hungary,20788.973837018166,5.476160600253746,38.327363636363636,15.694939393939393,8.239212121212121,0.8236060606060606,12.70281818181818
Iceland,40808.10293248333,4.079121251119787,34.78491176470589,13.847647058823531,14.781411764705881,2.6,2.9277058823529414
Indonesia,8384.88481877147,3.883724187951934,11.148703703703703,4.7829999999999995,4.936851851851852,0.36274074074074075,0.4427777777777778
Ireland,50041.95442330097,7.2484661596876805,27.91985294117647,10.10529411764706,11.896088235294117,1.5862058823529412,4.077294117647059
Israel,31485.974371255397,3.586988539468099,31.840103448275862,11.421103448275861,10.81848275862069,3.2894482758620693,5.057103448275863
Italy,33219.225915409894,3.5470204673875414,40.937705882352944,11.116617647058822,13.622735294117646,2.1837941176470586,12.548911764705881
Japan,33184.238241173654,2.858934990194697,27.590424242424245,5.184823529411766,9.515529411764707,2.6513823529411766,10.240848484848485
Korea,29110.024006254745,5.889527081947561,22.650323529411768,7.456735294117647,6.850176470588235,2.7701470588235293,4.826529411764705
Latvia,19072.24794739737,7.73078662734387,29.488931034482757,12.133517241379309,7.314413793103448,0.966448275862069,9.061275862068968
Lithuania,22697.064854916327,8.10771819063199,29.705931034482752,11.698310344827588,7.550379310344827,0.3478620689655173,10.109275862068966
Luxembourg,79196.81042998045,4.906040198670851,36.52958823529412,9.52920588235294,13.58914705882353,3.1152058823529414,10.24705882352941
Madagascar,1569.6214448450432,0.5649472412137188,8.990433333333334,6.650666666666667,2.0083333333333333,0.0774,0.43941666666666673
Malta,29285.6747151742,5.0615128986147,29.1678275862069,12.137172413793104,10.49251724137931,1.0076206896551723,5.529655172413793
Mexico,14810.536242720971,3.773140545506666,12.751617647058824,4.923235294117648,5.000294117647059,0.2693235294117647,2.0748235294117645
