TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2019,A,AUS,S1,S1,B1G,_Z,F,_Z,XDC,V,N,T0101,141598.0
2019,A,AUS,S1,S1,B1G,_Z,C,_Z,USD_EXC,V,N,T0101,77262.075
2021,A,AUS,S1,S1,B1G,_Z,C,_Z,USD_EXC,V,N,T0101,94090.082
2022,A,AUS,S1,S1,B1G,_Z,C,_Z,USD_EXC,V,N,T0101,95502.805
2023,A,AUS,S1,S1,B1G,_Z,C,_Z,XDC,V,N,T0101,146778.0
2021,A,AUS,S1,S1,B1G,_Z,C,_Z,XDC,V,N,T0101,125255.0
2022,A,AUS,S1,S1,B1G,_Z,C,_Z,XDC,V,N,T0101,137683.0
2019,A,AUS,S1,S1,B1G,_Z,C,_Z,XDC,V,N,T0101,111142.0
2020,A,AUS,S1,S1,B1G,_Z,C,_Z,XDC,V,N,T0101,114985.0
2020,A,AUS,S1,S1,B1G,_Z,C,_Z,USD_EXC,V,N,T0101,79131.634
2020,A,AUS,S1,S1,B1G,_Z,BTE,_Z,USD_EXC,V,N,T0101,265142.073
2021,A,AUS,S1,S1,B1G,_Z,BTE,_Z,USD_EXC,V,N,T0101,365734.02
2022,A,AUS,S1,S1,B1G,_Z,BTE,_Z,USD_EXC,V,N,T0101,372968.895
2023,A,AUS,S1,S1,B1G,_Z,BTE,_Z,XDC,V,N,T0101,506007.0
2020,A,AUS,S1,S1,B1G,_Z,BTE,_Z,XDC,V,N,T0101,385274.0
2021,A,AUS,S1,S1,B1G,_Z,BTE,_Z,XDC,V,N,T0101,486874.0
2022,A,AUS,S1,S1,B1G,_Z,BTE,_Z,XDC,V,N,T0101,537696.0
2019,A,AUS,S1,S1,B1G,_Z,BTE,_Z,XDC,V,N,T0101,361476.0
2019,A,AUS,S1,S1,B1G,_Z,BTE,_Z,USD_EXC,V,N,T0101,251285.614
2019,A,AUS,S1,S1,B1G,_Z,A,_Z,USD_EXC,V,N,T0101,27720.416
2021,A,AUS,S1,S1,B1G,_Z,A,_Z,USD_EXC,V,N,T0101,46795.271
2022,A,AUS,S1,S1,B1G,_Z,A,_Z,USD_EXC,V,N,T0101,45832.44
2023,A,AUS,S1,S1,B1G,_Z,A,_Z,XDC,V,N,T0101,59284.0
2022,A,AUS,S1,S1,B1G,_Z,A,_Z,XDC,V,N,T0101,66075.0
2021,A,AUS,S1,S1,B1G,_Z,A,_Z,XDC,V,N,T0101,62295.0
2019,A,AUS,S1,S1,B1G,_Z,A,_Z,XDC,V,N,T0101,39876.0
2022,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,USD_EXC,V,N,T0101,110439.013
2022,A,AUS,S1,S1,YA1,_Z,_Z,_Z,USD_EXC,V,N,T0101,0.0
2023,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,USD_EXC,V,N,T0101,110005.304
2023,A,AUS,S1,S1,YA1,_Z,_Z,_Z,USD_EXC,V,N,T0101,1330.728
2019,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_EXC,V,N,T0101,1377583.583
2020,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_EXC,V,N,T0101,1435443.783
2021,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_EXC,V,N,T0101,1750515.725
2022,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_EXC,V,N,T0101,1780936.6
2023,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_EXC,V,N,T0101,1775627.733
2019,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,USD_EXC,V,N,T0101,87487.263
2019,A,AUS,S1,S1,YA1,_Z,_Z,_Z,USD_EXC,V,N,T0101,0.0
2020,A,AUS,S1,S1,YA1,_Z,_Z,_Z,USD_EXC,V,N,T0101,0.0
2021,A,AUS,S1,S1,YA1,_Z,_Z,_Z,USD_EXC,V,N,T0101,0.0
2020,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,XDC,V,N,T0101,136599.0
2021,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,XDC,V,N,T0101,152960.0
2022,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,XDC,V,N,T0101,159216.0
2023,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,XDC,V,N,T0101,165579.0
2023,A,AUS,S1,S1,YA1,_Z,_Z,_Z,XDC,V,N,T0101,2003.0
2019,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0101,1981663.0
2020,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0101,2085822.0
2021,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0101,2330329.0
2022,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0101,2567513.0
2023,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0101,2672659.0
2019,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,XDC,V,N,T0101,125851.0
2019,A,AUS,S1,S1,YA1,_Z,_Z,_Z,XDC,V,N,T0101,0.0
2020,A,AUS,S1,S1,YA1,_Z,_Z,_Z,XDC,V,N,T0101,0.0
2021,A,AUS,S1,S1,YA1,_Z,_Z,_Z,XDC,V,N,T0101,0.0
2022,A,AUS,S1,S1,YA1,_Z,_Z,_Z,XDC,V,N,T0101,0.0
2020,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,USD_EXC,V,N,T0101,94006.193
2019,A,AUS,S1,S1,B1G,_Z,RTU,_Z,USD_EXC,V,N,T0101,32162.523
2021,A,AUS,S1,S1,B1G,_Z,RTU,_Z,USD_EXC,V,N,T0101,37563.919
2022,A,AUS,S1,S1,B1G,_Z,RTU,_Z,USD_EXC,V,N,T0101,39925.379
2023,A,AUS,S1,S1,B1G,_Z,RTU,_Z,XDC,V,N,T0101,62634.0
2022,A,AUS,S1,S1,B1G,_Z,RTU,_Z,XDC,V,N,T0101,57559.0
2021,A,AUS,S1,S1,B1G,_Z,RTU,_Z,XDC,V,N,T0101,50006.0
2019,A,AUS,S1,S1,B1G,_Z,RTU,_Z,XDC,V,N,T0101,46266.0
2020,A,AUS,S1,S1,B1G,_Z,RTU,_Z,XDC,V,N,T0101,46155.0
2023,A,AUS,S1,S1,B1G,_Z,RTU,_Z,USD_EXC,V,N,T0101,41611.993
2023,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,USD_EXC,V,N,T0101,313003.452
2021,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,USD_EXC,V,N,T0101,300164.301
2022,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,USD_EXC,V,N,T0101,299370.632
2020,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,XDC,V,N,T0101,369712.0
2023,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,XDC,V,N,T0101,471130.0
2021,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,XDC,V,N,T0101,399586.0
2022,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,XDC,V,N,T0101,431592.0
2019,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,XDC,V,N,T0101,348759.0
2019,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,USD_EXC,V,N,T0101,242445.195
2023,A,AUS,S1,S1,B1G,_Z,M_N,_Z,USD_EXC,V,N,T0101,188310.977
2021,A,AUS,S1,S1,B1G,_Z,M_N,_Z,USD_EXC,V,N,T0101,180477.48
2022,A,AUS,S1,S1,B1G,_Z,M_N,_Z,USD_EXC,V,N,T0101,185733.926
2020,A,AUS,S1,S1,B1G,_Z,M_N,_Z,XDC,V,N,T0101,213650.0
2023,A,AUS,S1,S1,B1G,_Z,M_N,_Z,XDC,V,N,T0101,283444.0
2021,A,AUS,S1,S1,B1G,_Z,M_N,_Z,XDC,V,N,T0101,240256.0
2022,A,AUS,S1,S1,B1G,_Z,M_N,_Z,XDC,V,N,T0101,267766.0
2019,A,AUS,S1,S1,B1G,_Z,M_N,_Z,XDC,V,N,T0101,207538.0
2019,A,AUS,S1,S1,B1G,_Z,M_N,_Z,USD_EXC,V,N,T0101,144273.24
2019,A,AUS,S1,S1,B1G,_Z,L,_Z,USD_EXC,V,N,T0101,163315.211
2021,A,AUS,S1,S1,B1G,_Z,L,_Z,USD_EXC,V,N,T0101,192728.609
2022,A,AUS,S1,S1,B1G,_Z,L,_Z,USD_EXC,V,N,T0101,188872.659
2023,A,AUS,S1,S1,B1G,_Z,L,_Z,XDC,V,N,T0101,301082.0
2020,A,AUS,S1,S1,B1G,_Z,L,_Z,XDC,V,N,T0101,243293.0
