TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
2022,ITA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24421.45
2023,ITA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24766.1
2018,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25514.46
2019,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25563.72
2020,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25133.51
2021,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25198.19
2022,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25556.26
2023,KOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25580.44
2018,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,944.5
2019,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,930.5
2020,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,928.75
2021,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,892.2
2022,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,904.2
2023,LVA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,893.975
2018,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1413.25
2021,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1414.375
2022,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1443.875
2023,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1473.05
2018,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,294.9
2019,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,304.35
2021,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,319.725
2022,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,323.6
2023,LUX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,335.15
2018,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,52093.81
2019,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,53561.52
2021,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,54618.25
2022,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,56136.99
2023,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,57153.51
2018,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9159.5
2019,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9268.5
2020,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9306.0
2021,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9371.6
2022,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9569.175
2023,NLD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,9731.725
2018,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2602.625
2020,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2673.575
2021,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2783.95
2022,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2823.675
2023,NOR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2859.15
2018,POL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,16611.75
2018,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2789.5
2019,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2779.25
2020,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2749.0
2021,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2708.925
2022,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2729.6
2023,SVK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2721.525
2018,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1006.5
2019,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1007.5
2020,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1004.75
2021,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1002.2
2022,SVN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1006.85
