,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
288,2017,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.605
289,2016,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.949
290,2015,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.201
291,2014,PNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.993
292,2023,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.945
293,2022,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.946
294,2021,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.663
295,2020,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.027
296,2019,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.596
297,2018,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.533
298,2017,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.235
299,2016,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.769
300,2015,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.44
301,2014,PAN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.03
302,2023,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.549
303,2022,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.034
304,2021,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.389
305,2020,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.285
306,2019,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.994
307,2018,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.222
308,2017,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.404
309,2016,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.164
310,2015,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.185
311,2014,PAK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.918
312,2023,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.328
313,2022,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.833
314,2021,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.778
315,2020,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.445
316,2019,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.667
317,2018,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.949
318,2017,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.908
319,2016,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.848
320,2015,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.5
321,2014,NIU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.153
322,2022,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.909
323,2021,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.688
324,2020,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.55
325,2019,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.984
326,2018,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.352
327,2017,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.724
328,2016,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.303
329,2015,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.077
330,2014,NGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.665
331,2022,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.584
332,2021,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.453
333,2020,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.784
334,2019,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.391
335,2018,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.198
336,2017,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.476
337,2016,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.248
338,2015,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.304
339,2014,NER,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.146
340,2023,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.463
341,2022,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.779
342,2021,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.037
343,2020,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.413
344,2019,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.518
345,2018,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.227
346,2017,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.849
347,2016,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.269
348,2015,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.308
349,2014,NIC,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.763
350,2023,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.005
351,2022,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.154
352,2021,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.208
353,2020,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.474
354,2019,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.022
355,2018,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.323
356,2017,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.904
357,2016,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.8
358,2015,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.989
359,2014,NRU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.365
360,2022,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.704
361,2021,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.452
362,2020,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.544
363,2019,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.197
364,2018,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.419
365,2017,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.406
366,2016,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.122
367,2015,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.467
368,2014,NAM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.126
369,2022,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.837
370,2021,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.673
371,2020,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.676
372,2019,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.005
373,2018,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.192
374,2017,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.424
375,2016,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.996
376,2015,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.679
377,2014,MOZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.343
378,2022,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.917
379,2021,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.253
380,2020,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.275
381,2019,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.402
382,2023,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.463
383,2022,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.917
384,2021,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.101
385,2020,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.72
386,2019,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.434
387,2018,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.513
388,2017,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.216
389,2016,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.107
390,2015,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.605
391,2014,FJI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.691
392,2023,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.369
393,2022,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.976
394,2021,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.485
395,2020,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.587
396,2019,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.507
397,2018,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.957
398,2017,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.169
399,2016,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.901
400,2015,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.263
401,2014,UKR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.374
402,2023,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.087
403,2022,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.143
404,2021,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.603
405,2020,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.788
406,2019,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.179
407,2018,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.497
408,2017,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.067
409,2016,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.744
410,2015,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.266
411,2014,HKG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.417
412,2023,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.993
413,2022,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.321
414,2021,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.603
415,2020,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.171
416,2019,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.538
417,2018,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.868
418,2017,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.039
419,2016,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.907
420,2015,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.553
421,2014,LAO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.285
422,2022,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.521
423,2021,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.351
424,2020,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.573
425,2019,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.538
426,2018,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.797
427,2017,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.172
428,2016,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.018
429,2015,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.951
430,2014,MWI,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.697
431,2022,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.158
432,2021,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.15
433,2020,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.708
434,2019,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.215
435,2018,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.166
436,2017,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.894
437,2016,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.031
438,2015,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.289
439,2014,ZMB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.282
440,2023,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.578
441,2022,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.404
442,2021,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.083
443,2020,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.035
444,2019,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.607
445,2018,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.887
446,2017,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.729
447,2016,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.441
448,2015,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.154
449,2014,MDV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.835
450,2023,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.583
451,2022,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.784
452,2021,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.097
453,2020,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.04
454,2019,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.989
455,2018,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.838
456,2017,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.125
457,2016,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.73
458,2015,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.919
459,2014,VUT,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.323
460,2022,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.313
461,2021,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.717
462,2020,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.775
463,2019,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.097
464,2018,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.434
465,2017,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.344
466,2016,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.332
467,2015,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.345
468,2014,LSO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.916
469,2022,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.985
470,2021,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.498
471,2020,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.237
472,2019,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.52
473,2018,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.153
474,2017,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.897
475,2016,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.003
476,2015,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.33
477,2014,F,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.326
478,2023,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.91
479,2022,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.372
480,2021,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.372
481,2020,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.091
482,2019,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.84
483,2018,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.731
484,2017,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.785
485,2016,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.814
486,2015,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.718
487,2014,KIR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.869
488,2022,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.503
489,2021,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.535
490,2020,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.391
491,2019,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.082
492,2018,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.674
493,2017,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.424
494,2022,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.398
495,2021,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.155
496,2020,Australia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.251
497,2016,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.978
498,2015,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.388
499,2014,UGA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.271
500,2022,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.504
501,2021,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.536
502,2020,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.456
503,2019,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.081
504,2018,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.937
505,2017,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.222
506,2016,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.911
507,2015,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.522
508,2014,TUN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.29
509,2023,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.246
510,2022,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.767
511,2021,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.813
512,2020,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.483
513,2019,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.71
514,2018,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.242
515,2017,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.263
516,2016,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.011
517,2015,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.326
518,2014,TTO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.938
519,2023,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.315
520,2022,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.959
521,2021,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.36
522,2020,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.147
523,2019,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.712
524,2018,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.713
525,2017,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.787
526,2016,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.665
527,2015,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.124
528,2014,TKL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.053
529,2022,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.434
530,2021,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.157
531,2020,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.749
532,2019,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.487
533,2018,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.766
534,2017,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.791
535,2016,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.31
536,2015,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.68
537,2014,TGO,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.936
538,2023,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.599
539,2022,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.754
540,2021,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.424
541,2020,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.32
542,2019,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.368
543,2018,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.597
544,2017,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.598
545,2016,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.362
546,2015,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.732
547,2014,TLS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.014
548,2023,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.1
549,2022,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.712
550,2021,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.4
551,2020,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.459
552,2019,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.241
553,2018,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.674
554,2017,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.537
555,2016,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.095
556,2015,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.899
557,2014,Thailand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.356
558,2023,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.978
559,2022,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.934
560,2021,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.566
561,2020,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.982
562,2019,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.086
563,2018,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.318
564,2017,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.768
565,2016,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.564
566,2015,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.853
567,2014,LKA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.886
568,2022,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.067
569,2021,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.297
570,2020,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.11
571,2019,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.116
572,2018,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.46
573,2017,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.03
574,2016,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.008
575,2015,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.41
576,2014,South Africa,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.42
577,2022,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,2.583
578,2021,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,2.516
579,2020,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,2.363
580,2019,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,2.027
581,2018,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,1.655
582,2017,SOM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,1.358
