,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
58,2022,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.65
59,2021,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.334
60,2020,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.737
61,2019,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.943
62,2018,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,5.671
63,2017,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,4.67
64,2016,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,3.581
65,2015,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,4.363
66,2014,TCD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.187
67,2022,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.041
68,2021,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.337
69,2020,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.833
70,2019,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.863
71,2018,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.171
72,2017,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.003
73,2016,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.693
74,2015,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.115
75,2014,CMR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.837
76,2023,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.041
77,2022,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.743
78,2021,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.18
79,2020,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.654
80,2019,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.989
81,2018,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.823
82,2017,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.777
83,2018,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.205
84,2017,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.867
85,2016,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.444
86,2015,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.586
87,2014,MAR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.655
88,2023,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.682
89,2022,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.551
90,2021,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.99
91,2020,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.822
92,2019,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.873
93,2018,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.903
94,2017,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.437
95,2016,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.084
96,2015,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.308
97,2014,MNG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.158
98,2023,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.317
99,2022,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.037
100,2021,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.423
101,2020,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.53
102,2019,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.342
103,2018,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.993
104,2017,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.401
105,2016,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.733
106,2015,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.168
107,2014,MDA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.216
108,2022,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.188
109,2021,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.103
110,2020,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.573
111,2019,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.19
112,2018,EGY,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.518
