,min,mean,median,max,std
Gdp Per Capita,0.9837179729386968,28.610581851270396,24.69810709248923,142.90612061769295,20.841928582563064
Gdp Per Capita Growth Rates,-23.2767174613034,4.790245131459873,4.586989772499328,38.39067558472655,4.7807648549233175
Social Security Contributions Ssc,0.0,7.368774925373135,7.205,19.581,5.057612639933002
Taxes On Goods And Services,1.445,10.54468242074928,11.04,20.281,3.2820540726854315
Taxes On Income Profits And Capital Gains Of Individuals And Corporations,0.703,9.750088760806918,8.797,31.833,5.096042751005471
Taxes On Property,0.051,1.5190853025936601,1.27,17.026,1.1144545064300033
Total Tax Revenue,6.174,29.465112456747402,30.762999999999998,50.286,9.691007450311949
