TIME_PERIOD,STANDARD_REVENUE,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Switzerland,Chile,China (People’s Republic of),Cameroon,Colombia,Cabo Verde,Costa Rica,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Hong Kong (China),Croatia,Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Morocco,Madagascar,Mexico,Malta,Netherlands,Norway,New Zealand,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,Sweden,Türkiye,United States,South Africa,Zambia
1993,Social security contributions (SSC),4.988,0.0,14.165,14.679,,6.863,4.89,6.406,1.342,,0.934,2.193,0.0,5.376,14.07,13.727,0.011,12.068,,13.823,19.581,5.547,,8.238,,,17.688,,4.824,2.454,,12.732,7.878,2.472,,9.919,,,,2.159,,16.044,9.72,0.0,12.104,7.516,,,,,,11.952,3.241,6.68,0.0,
1993,Taxes on property,1.065,2.729,1.083,1.685,,1.037,3.876,2.022,1.253,,0.154,0.339,0.934,0.252,0.386,0.978,1.949,1.599,,1.169,2.773,2.995,,0.982,,,0.367,,1.375,2.926,,2.191,3.003,2.587,,2.835,,,0.085,0.285,,1.578,1.045,1.934,1.349,0.683,,,,,,1.404,0.352,3.076,0.288,
1993,Taxes on goods and services,10.78,7.834,12.231,10.781,,11.906,9.189,4.747,12.035,,4.061,6.48,9.019,8.975,12.153,10.015,14.843,8.697,,13.734,11.276,10.529,,12.147,,,16.782,,12.639,15.243,,10.495,3.911,7.623,,9.266,,,5.047,4.196,,10.21,15.047,12.5,12.93,11.997,,,,,,11.922,5.234,4.733,8.497,
1993,Total tax revenue,19.343,26.555,41.688,42.632,,25.216,34.444,23.998,18.527,,7.238,14.372,14.739,18.798,36.474,35.781,45.834,31.865,,43.497,43.018,29.875,,26.57,,,45.197,,33.296,30.599,,40.505,25.844,18.467,,35.43,,,6.56,11.335,,41.52,38.866,34.869,39.175,28.029,,,,,,43.795,16.457,25.95,19.387,
1994,"Taxes on income, profits and capital gains of individuals and corporations",2.182,14.903,10.324,15.792,,5.001,15.399,11.308,4.392,,1.892,4.163,5.156,2.33,8.742,10.697,29.276,9.021,,15.924,6.939,10.995,,5.802,,,8.97,,14.236,10.077,,13.388,9.803,5.365,,13.803,,,1.191,3.976,,11.134,13.885,21.599,11.052,7.518,,,,,,18.702,4.79,11.619,10.525,
1994,Social security contributions (SSC),4.832,0.0,14.618,14.359,,6.929,5.016,6.245,1.276,,0.838,2.803,0.0,5.768,14.119,14.018,0.011,11.9,,14.443,18.945,5.645,,8.285,,,16.53,,4.701,2.442,,12.055,8.098,2.312,,9.522,,,,2.292,,16.333,9.633,0.0,10.804,7.569,,,,,,11.979,2.553,6.691,0.0,
1994,Taxes on property,0.991,2.548,0.654,1.729,,2.062,3.8,2.091,1.152,,0.128,0.411,0.827,0.215,0.435,1.011,1.801,1.797,,1.116,2.903,3.195,,0.944,,,0.439,,1.52,2.84,,2.096,2.998,2.676,,2.754,,,0.087,0.272,,1.66,1.091,1.893,1.223,0.691,,,,,,1.414,1.306,3.103,0.366,
1994,Taxes on goods and services,10.628,8.085,12.903,11.034,,14.208,9.002,4.721,11.631,,4.552,7.235,8.935,9.191,11.804,10.45,15.378,9.136,,13.938,11.657,10.766,,11.608,,,15.839,,13.342,14.781,,10.927,4.036,7.632,,9.705,,,4.765,4.492,,10.442,15.554,11.945,12.832,12.883,,,,,,11.37,5.993,4.873,8.69,
1994,Total tax revenue,19.198,27.436,41.701,42.913,,29.102,34.403,24.41,18.28,,7.409,15.745,14.918,19.586,35.23,36.186,46.724,31.898,,45.518,43.072,30.601,,26.834,,,42.735,,34.366,30.147,,38.581,25.001,18.57,,35.831,,,6.328,11.442,,39.674,40.164,35.438,36.398,28.804,,,,,,44.081,16.145,26.286,19.789,
1995,"Taxes on income, profits and capital gains of individuals and corporations",2.244,15.618,10.784,16.328,4.969,5.206,16.08,10.782,4.585,,2.207,3.912,5.107,2.292,8.56,10.991,29.496,9.107,10.515,16.084,6.904,10.817,1.961,5.863,,6.024,8.543,,12.823,10.487,11.773,13.571,9.71,5.653,8.328,14.461,6.529,,1.011,3.121,8.31,10.157,14.056,21.782,10.917,7.71,10.636,,,10.081,6.37,17.712,4.638,12.089,10.526,
