REF_AREA,value
Bulgaria,37.507784883681246
Chile,32.30501862756188
Argentina,29.362593827832622
Costa Rica,27.250230890112277
China (People’s Republic of),25.197695486887003
Georgia,25.071971136992303
Mexico,24.9356950512509
Colombia,21.47531616147387
South Africa,15.97735642775315
Cameroon,5.405575192790164
