REF_AREA,value
Singapore,142.63632443393038
Luxembourg,142.1420685730545
Ireland,128.8049403062691
Norway,100.42993949275362
Switzerland,90.2299394674461
United States,82.22289487187854
Iceland,79.46441897233201
Netherlands,77.02469916652683
Australia,73.40116705287409
Denmark,73.28269160642078
