TIME_PERIOD,REF_AREA,value,decade,region
1993,France,19.10886198419964,1990,Europe
1993,Germany,21.99718247967781,1990,Europe
1993,Greece,14.105020582293044,1990,Europe
1993,Hong Kong (China),22.77618912048805,1990,Asia
1993,Hungary,8.487803672041967,1990,Europe
1993,Iceland,22.43890447308567,1990,Europe
1993,Indonesia,4.7676302562679655,1990,Asia
1993,Ireland,15.810992725237828,1990,Europe
1993,Italy,20.47185639026038,1990,Europe
1993,Japan,22.149219700971685,1990,Asia
1993,Korea,11.438544269713768,1990,Asia
1993,Luxembourg,35.826342103949855,1990,Europe
1993,Mexico,8.651246536609863,1990,Americas
1993,Netherlands,21.42993465170669,1990,Europe
1993,New Zealand,15.906372866227828,1990,Oceania
1993,Norway,21.56920477736549,1990,Europe
1993,Poland,6.629382981671014,1990,Europe
1993,Portugal,13.18165283041569,1990,Europe
1993,Singapore,30.06641291880471,1990,Asia
1993,Slovak Republic,7.564610680943372,1990,Europe
1993,South Africa,7.157746720641272,1990,Other
1993,Spain,14.876089463706071,1990,Europe
1993,Sweden,20.733975443226804,1990,Europe
1993,Switzerland,29.26237233608123,1990,Europe
1993,Türkiye,9.865661992989484,1990,Other
1993,United Kingdom,18.63458034445715,1990,Europe
1993,United States,26.35049292690236,1990,Americas
1994,Australia,21.434245205133244,1990,Oceania
1994,Austria,22.538075290715184,1990,Europe
1994,Belgium,21.503589345134746,1990,Europe
1994,Cameroon,1.6025327639634193,1990,Other
1994,Canada,22.632831256306105,1990,Americas
1994,Chile,6.653874500519654,1990,Americas
1994,China (People’s Republic of),1.67065229119733,1990,Other
1994,Colombia,6.284421454804941,1990,Americas
1994,Costa Rica,6.683886974277076,1990,Americas
1994,Czechia,12.816631163482151,1990,Europe
1994,Denmark,21.657261306209275,1990,Europe
1994,Estonia,5.901905213270142,1990,Europe
1994,Finland,18.44549712084586,1990,Europe
1994,France,19.91575970877886,1990,Europe
1994,Germany,22.968940576977584,1990,Europe
1994,Greece,14.627983388659407,1990,Europe
1994,Hong Kong (China),24.11893487986744,1990,Asia
1994,Hungary,8.95324675957509,1990,Europe
1994,Iceland,23.548763157894737,1990,Europe
1994,Indonesia,5.164408729265466,1990,Asia
1994,Ireland,17.02096207473508,1990,Europe
1994,Italy,21.354416537364056,1990,Europe
1994,Japan,22.83475170242016,1990,Asia
1994,Korea,12.637823641413917,1990,Asia
1994,Luxembourg,37.44385073530027,1990,Europe
1994,Mexico,9.08012159475579,1990,Americas
1994,Netherlands,22.4023338790619,1990,Europe
1994,New Zealand,17.04334993396434,1990,Oceania
1994,Norway,23.010058565828917,1990,Europe
1994,Poland,7.12354343099985,1990,Europe
1994,Portugal,13.560403988877551,1990,Europe
1994,Singapore,33.058001754899095,1990,Asia
1994,Slovak Republic,8.171986765195665,1990,Europe
1994,South Africa,7.387156326581475,1990,Other
1994,Spain,15.528012162430414,1990,Europe
1994,Sweden,21.831495290401524,1990,Europe
1994,Switzerland,30.060313049073645,1990,Europe
1994,Türkiye,9.376986505090334,1990,Other
1994,United Kingdom,19.71394599218831,1990,Europe
1994,United States,27.66026835702492,1990,Americas
1995,Australia,22.444078889270145,1990,Oceania
1995,Austria,23.5884542538648,1990,Europe
1995,Belgium,22.43149346933944,1990,Europe
1995,Brazil,8.1164576301597,1990,Americas
1995,Bulgaria,7.737724907498359,1990,Other
1995,Cameroon,1.6634153676470589,1990,Other
1995,Canada,23.485643436109868,1990,Americas
1995,Chile,7.388385641065541,1990,Americas
1995,China (People’s Republic of),1.8739795138745552,1990,Other
1995,Colombia,6.646387314460833,1990,Americas
1995,Costa Rica,6.906601696333162,1990,Americas
1995,Croatia,8.04644190622139,1990,Other
1995,Czechia,13.943328171724849,1990,Europe
1995,Denmark,22.6746774830341,1990,Europe
1995,Estonia,6.424123334023894,1990,Europe
1995,Finland,19.554832804730022,1990,Europe
