TIME_PERIOD,REF_AREA,STANDARD_REVENUE,value
1990,CPV,T_2000,0.0
1991,CPV,T_2000,0.0
1992,CPV,T_2000,0.0
1993,CPV,T_2000,0.0
1994,CPV,T_2000,0.0
1995,CPV,T_2000,0.0
1996,CPV,T_2000,0.0
1997,CPV,T_2000,0.0
1998,CPV,T_2000,0.0
1999,CPV,T_2000,0.0
2000,SGP,T_2000,0.0
2001,SGP,T_2000,0.0
2002,SGP,T_2000,0.0
2003,SGP,T_2000,0.0
2004,SGP,T_2000,0.0
2005,SGP,T_2000,0.0
2006,SGP,T_2000,0.0
2007,SGP,T_2000,0.0
2008,SGP,T_2000,0.0
2009,SGP,T_2000,0.0
2010,SGP,T_2000,0.0
2011,SGP,T_2000,0.0
2012,SGP,T_2000,0.0
2013,SGP,T_2000,0.0
2014,SGP,T_2000,0.0
2015,SGP,T_2000,0.0
2016,SGP,T_2000,0.0
2017,SGP,T_2000,0.0
2018,SGP,T_2000,0.0
2019,SGP,T_2000,0.0
2020,SGP,T_2000,0.0
2021,SGP,T_2000,0.0
2022,SGP,T_2000,0.0
2023,SGP,T_2000,0.0
1990,ZAF,T_2000,0.0
1991,ZAF,T_2000,0.0
1992,ZAF,T_2000,0.0
1993,ZAF,T_2000,0.0
1994,ZAF,T_2000,0.0
1995,ZAF,T_2000,0.0
1996,ZAF,T_2000,0.0
1997,ZAF,T_2000,0.0
1998,ZAF,T_2000,0.0
1999,ZAF,T_2000,0.0
2000,ZAF,T_2000,0.0
2013,BGR,T_2000,7.436
2014,BGR,T_2000,7.814
2015,BGR,T_2000,7.777
2016,BGR,T_2000,7.729
2017,BGR,T_2000,8.236
2018,BGR,T_2000,8.666
2019,BGR,T_2000,8.852
2020,BGR,T_2000,9.085
2021,BGR,T_2000,8.821
2022,BGR,T_2000,8.245
2023,BGR,T_2000,8.505
2000,CPV,T_2000,0.807
2001,CPV,T_2000,0.474
2002,CPV,T_2000,0.404
2003,CPV,T_2000,0.555
2004,CPV,T_2000,0.566
2005,CPV,T_2000,0.577
2006,CPV,T_2000,0.522
2007,CPV,T_2000,0.087
2008,CPV,T_2000,0.046
2009,CPV,T_2000,0.035
2010,CPV,T_2000,0.028
2011,CPV,T_2000,0.023
2012,CPV,T_2000,0.025
2013,CPV,T_2000,0.026
2014,CPV,T_2000,0.033
2015,CPV,T_2000,0.026
2016,CPV,T_2000,0.03
2017,CPV,T_2000,0.031
2018,CPV,T_2000,0.037
2019,CPV,T_2000,0.034
2020,CPV,T_2000,0.044
2021,CPV,T_2000,0.042
2022,CPV,T_2000,0.035
1993,CMR,T_2000,0.934
1994,CMR,T_2000,0.838
1995,CMR,T_2000,0.769
1996,CMR,T_2000,0.771
1997,CMR,T_2000,0.742
1998,CMR,T_2000,0.736
1999,CMR,T_2000,0.777
2000,CMR,T_2000,0.873
2001,CMR,T_2000,0.926
2002,CMR,T_2000,0.919
2003,CMR,T_2000,0.895
2004,CMR,T_2000,0.878
2005,CMR,T_2000,0.816
2006,CMR,T_2000,0.767
2007,CMR,T_2000,0.783
2008,CMR,T_2000,0.808
2009,CMR,T_2000,0.831
2010,CMR,T_2000,0.997
2011,CMR,T_2000,0.996
2012,CMR,T_2000,0.958
2013,CMR,T_2000,0.961
2014,CMR,T_2000,0.856
2015,CMR,T_2000,0.845
2016,CMR,T_2000,1.003
2017,CMR,T_2000,1.02
2018,CMR,T_2000,1.021
2019,CMR,T_2000,1.015
2020,CMR,T_2000,1.038
2021,CMR,T_2000,1.02
2022,CMR,T_2000,0.959
2019,CHN,T_2000,5.964
2020,CHN,T_2000,4.757
2021,CHN,T_2000,5.887
2022,CHN,T_2000,6.076
2023,CHN,T_2000,6.443
1995,HRV,T_2000,15.368
1996,HRV,T_2000,15.565
1997,HRV,T_2000,15.126
1998,HRV,T_2000,13.997
1999,HRV,T_2000,13.856
2000,HRV,T_2000,13.264
2001,HRV,T_2000,12.762
2002,HRV,T_2000,11.82
2003,HRV,T_2000,11.682
2004,HRV,T_2000,11.632
2005,HRV,T_2000,11.532
2006,HRV,T_2000,11.465
2007,HRV,T_2000,11.693
2008,HRV,T_2000,11.72
2009,HRV,T_2000,11.919
2010,HRV,T_2000,11.722
2011,HRV,T_2000,11.626
2012,HRV,T_2000,11.382
2013,HRV,T_2000,11.134
2014,HRV,T_2000,11.622
2015,HRV,T_2000,11.4
2016,HRV,T_2000,11.243
2017,HRV,T_2000,11.223
2018,HRV,T_2000,11.201
2019,HRV,T_2000,11.078
2020,HRV,T_2000,11.318
2021,HRV,T_2000,10.914
2022,HRV,T_2000,10.672
2000,MAR,T_2000,2.234
2001,MAR,T_2000,2.973
2002,MAR,T_2000,3.009
2003,MAR,T_2000,3.113
2004,MAR,T_2000,3.268
2005,MAR,T_2000,3.843
2006,MAR,T_2000,4.34
2007,MAR,T_2000,4.371
2008,MAR,T_2000,4.219
2009,MAR,T_2000,4.372
2010,MAR,T_2000,4.466
2011,MAR,T_2000,4.781
2012,MAR,T_2000,4.98
2013,MAR,T_2000,4.915
2014,MAR,T_2000,4.99
2015,MAR,T_2000,4.862
2016,MAR,T_2000,5.117
2017,MAR,T_2000,5.232
2018,MAR,T_2000,5.45
2019,MAR,T_2000,5.938
2020,MAR,T_2000,6.766
2021,MAR,T_2000,6.448
2022,MAR,T_2000,6.734
1995,ROU,T_2000,7.663
1996,ROU,T_2000,7.253
1997,ROU,T_2000,6.967
1998,ROU,T_2000,9.231
1999,ROU,T_2000,11.019
2000,ROU,T_2000,11.1
2001,ROU,T_2000,11.003
2002,ROU,T_2000,10.715
2003,ROU,T_2000,9.771
2004,ROU,T_2000,9.32
2005,ROU,T_2000,9.727
2006,ROU,T_2000,9.817
2007,ROU,T_2000,9.593
2008,ROU,T_2000,9.005
2009,ROU,T_2000,8.961
2010,ROU,T_2000,8.468
2011,ROU,T_2000,8.65
2012,ROU,T_2000,8.36
2013,ROU,T_2000,8.678
2014,ROU,T_2000,8.518
2015,ROU,T_2000,8.084
2016,ROU,T_2000,8.144
2017,ROU,T_2000,8.506
2018,ROU,T_2000,10.472
2019,ROU,T_2000,10.453
2020,ROU,T_2000,10.987
2021,ROU,T_2000,10.428
2022,ROU,T_2000,10.082
1997,SEN,T_2000,0.481
1998,SEN,T_2000,0.483
1999,SEN,T_2000,0.496
2000,SEN,T_2000,0.52
2001,SEN,T_2000,0.515
2002,SEN,T_2000,0.558
2003,SEN,T_2000,0.589
2004,SEN,T_2000,0.623
2005,SEN,T_2000,0.63
2006,SEN,T_2000,0.661
2007,SEN,T_2000,0.66
2008,SEN,T_2000,0.691
2009,SEN,T_2000,0.71
2010,SEN,T_2000,0.915
2011,SEN,T_2000,0.71
2012,SEN,T_2000,1.058
2013,SEN,T_2000,1.035
2014,SEN,T_2000,1.068
2015,SEN,T_2000,1.106
2016,SEN,T_2000,1.136
2017,SEN,T_2000,1.165
2018,SEN,T_2000,1.168
2019,SEN,T_2000,1.189
2020,SEN,T_2000,1.092
2021,SEN,T_2000,0.975
2022,SEN,T_2000,0.923
2001,ZAF,T_2000,0.002
2002,ZAF,T_2000,0.214
2003,ZAF,T_2000,0.343
2004,ZAF,T_2000,0.353
2005,ZAF,T_2000,0.353
2006,ZAF,T_2000,0.373
2007,ZAF,T_2000,0.375
2008,ZAF,T_2000,0.383
2009,ZAF,T_2000,0.379
2010,ZAF,T_2000,0.364
2011,ZAF,T_2000,0.377
2012,ZAF,T_2000,0.395
2013,ZAF,T_2000,0.367
2014,ZAF,T_2000,0.377
2015,ZAF,T_2000,0.388
2016,ZAF,T_2000,0.374
2017,ZAF,T_2000,0.367
2018,ZAF,T_2000,0.355
2019,ZAF,T_2000,0.352
2020,ZAF,T_2000,0.34
2021,ZAF,T_2000,0.335
2022,ZAF,T_2000,0.347
2013,BGR,T_4000,0.564
2014,BGR,T_4000,0.575
2015,BGR,T_4000,0.566
2016,BGR,T_4000,0.594
2017,BGR,T_4000,0.58
2018,BGR,T_4000,0.563
2019,BGR,T_4000,0.543
2020,BGR,T_4000,0.559
2021,BGR,T_4000,0.631
2022,BGR,T_4000,0.549
2023,BGR,T_4000,0.504
1990,CPV,T_4000,0.879
1991,CPV,T_4000,0.837
1992,CPV,T_4000,0.809
1993,CPV,T_4000,0.934
1994,CPV,T_4000,0.827
1995,CPV,T_4000,0.806
1996,CPV,T_4000,0.822
1997,CPV,T_4000,0.783
1998,CPV,T_4000,0.612
1999,CPV,T_4000,0.677
2000,CPV,T_4000,0.828
2001,CPV,T_4000,0.79
2002,CPV,T_4000,0.917
2003,CPV,T_4000,0.845
2004,CPV,T_4000,0.876
2005,CPV,T_4000,0.877
2006,CPV,T_4000,1.091
2007,CPV,T_4000,1.49
2008,CPV,T_4000,1.814
2009,CPV,T_4000,1.169
2010,CPV,T_4000,0.947
2011,CPV,T_4000,1.082
2012,CPV,T_4000,0.934
2013,CPV,T_4000,0.957
2014,CPV,T_4000,0.95
2015,CPV,T_4000,0.924
2016,CPV,T_4000,0.879
2017,CPV,T_4000,0.587
2018,CPV,T_4000,0.914
2019,CPV,T_4000,0.85
2020,CPV,T_4000,0.88
2021,CPV,T_4000,0.345
2022,CPV,T_4000,0.321
1993,CMR,T_4000,0.154
1994,CMR,T_4000,0.128
1995,CMR,T_4000,0.151
1996,CMR,T_4000,0.08
1997,CMR,T_4000,0.073
1998,CMR,T_4000,0.079
1999,CMR,T_4000,0.103
2000,CMR,T_4000,0.175
2001,CMR,T_4000,0.163
2002,CMR,T_4000,0.16
2003,CMR,T_4000,0.134
2004,CMR,T_4000,0.116
2005,CMR,T_4000,0.13
2006,CMR,T_4000,0.144
2007,CMR,T_4000,0.152
2008,CMR,T_4000,0.149
2009,CMR,T_4000,0.136
2010,CMR,T_4000,0.132
2011,CMR,T_4000,0.09
2012,CMR,T_4000,0.098
2013,CMR,T_4000,0.125
2014,CMR,T_4000,0.117
2015,CMR,T_4000,0.134
2016,CMR,T_4000,0.152
2017,CMR,T_4000,0.159
2018,CMR,T_4000,0.114
2019,CMR,T_4000,0.117
2020,CMR,T_4000,0.109
2021,CMR,T_4000,0.116
2022,CMR,T_4000,0.097
2007,CHN,T_4000,1.615
2008,CHN,T_4000,1.269
2009,CHN,T_4000,1.229
2010,CHN,T_4000,1.289
2011,CHN,T_4000,1.237
2012,CHN,T_4000,1.237
2013,CHN,T_4000,1.39
2014,CHN,T_4000,1.431
2015,CHN,T_4000,1.642
2016,CHN,T_4000,1.443
2017,CHN,T_4000,1.426
2018,CHN,T_4000,1.411
2019,CHN,T_4000,1.378
2020,CHN,T_4000,1.454
2021,CHN,T_4000,1.44
2022,CHN,T_4000,1.297
2023,CHN,T_4000,1.229
1995,HRV,T_4000,0.711
1996,HRV,T_4000,1.074
1997,HRV,T_4000,1.156
1998,HRV,T_4000,1.116
1999,HRV,T_4000,1.105
2000,HRV,T_4000,1.084
2001,HRV,T_4000,1.115
2002,HRV,T_4000,1.068
2003,HRV,T_4000,1.007
2004,HRV,T_4000,1.034
2005,HRV,T_4000,1.053
2006,HRV,T_4000,1.152
2007,HRV,T_4000,1.254
2008,HRV,T_4000,1.32
2009,HRV,T_4000,1.247
2010,HRV,T_4000,1.152
2011,HRV,T_4000,1.242
2012,HRV,T_4000,1.147
2013,HRV,T_4000,1.165
2014,HRV,T_4000,1.146
2015,HRV,T_4000,1.12
2016,HRV,T_4000,1.115
2017,HRV,T_4000,1.094
2018,HRV,T_4000,1.176
2019,HRV,T_4000,1.154
2020,HRV,T_4000,1.092
2021,HRV,T_4000,1.094
2022,HRV,T_4000,1.064
2000,MAR,T_4000,1.21
2001,MAR,T_4000,1.228
2002,MAR,T_4000,1.295
2003,MAR,T_4000,1.283
2004,MAR,T_4000,1.291
2005,MAR,T_4000,1.405
2006,MAR,T_4000,1.426
2007,MAR,T_4000,1.63
2008,MAR,T_4000,1.538
2009,MAR,T_4000,1.356
2010,MAR,T_4000,1.496
2011,MAR,T_4000,1.48
2012,MAR,T_4000,1.684
2013,MAR,T_4000,1.75
2014,MAR,T_4000,1.79
2015,MAR,T_4000,1.812
2016,MAR,T_4000,1.844
2017,MAR,T_4000,1.453
2018,MAR,T_4000,1.395
2019,MAR,T_4000,1.334
2020,MAR,T_4000,1.167
2021,MAR,T_4000,1.458
2022,MAR,T_4000,1.492
1995,ROU,T_4000,0.603
1996,ROU,T_4000,0.249
1997,ROU,T_4000,0.193
1998,ROU,T_4000,0.184
1999,ROU,T_4000,0.445
2000,ROU,T_4000,0.484
2001,ROU,T_4000,0.565
2002,ROU,T_4000,0.524
2003,ROU,T_4000,0.558
2004,ROU,T_4000,0.52
2005,ROU,T_4000,0.556
2006,ROU,T_4000,0.67
2007,ROU,T_4000,0.885
2008,ROU,T_4000,0.742
2009,ROU,T_4000,0.691
2010,ROU,T_4000,0.755
2011,ROU,T_4000,0.717
2012,ROU,T_4000,0.689
2013,ROU,T_4000,0.736
2014,ROU,T_4000,0.966
2015,ROU,T_4000,0.86
2016,ROU,T_4000,0.837
2017,ROU,T_4000,0.628
2018,ROU,T_4000,0.551
2019,ROU,T_4000,0.53
2020,ROU,T_4000,0.525
2021,ROU,T_4000,0.547
2022,ROU,T_4000,0.489
1997,SEN,T_4000,0.289
1998,SEN,T_4000,0.23
1999,SEN,T_4000,0.283
2000,SEN,T_4000,0.262
2001,SEN,T_4000,0.302
2002,SEN,T_4000,0.315
2003,SEN,T_4000,0.385
2004,SEN,T_4000,0.376
2005,SEN,T_4000,0.4
2006,SEN,T_4000,0.399
2007,SEN,T_4000,0.415
2008,SEN,T_4000,0.428
2009,SEN,T_4000,0.437
2010,SEN,T_4000,0.49
2011,SEN,T_4000,0.455
2012,SEN,T_4000,0.413
2013,SEN,T_4000,0.392
2014,SEN,T_4000,0.405
2015,SEN,T_4000,0.395
2016,SEN,T_4000,0.461
2017,SEN,T_4000,0.434
2018,SEN,T_4000,0.437
2019,SEN,T_4000,0.444
2020,SEN,T_4000,0.444
2021,SEN,T_4000,0.601
2022,SEN,T_4000,0.451
2000,SGP,T_4000,1.696
2001,SGP,T_4000,1.422
2002,SGP,T_4000,1.198
2003,SGP,T_4000,1.291
2004,SGP,T_4000,1.449
2005,SGP,T_4000,1.319
2006,SGP,T_4000,1.692
2007,SGP,T_4000,2.253
2008,SGP,T_4000,1.606
2009,SGP,T_4000,1.48
2010,SGP,T_4000,1.812
2011,SGP,T_4000,1.988
2012,SGP,T_4000,2.174
2013,SGP,T_4000,2.09
2014,SGP,T_4000,1.759
2015,SGP,T_4000,1.693
2016,SGP,T_4000,1.694
2017,SGP,T_4000,1.945
2018,SGP,T_4000,1.803
2019,SGP,T_4000,1.747
2020,SGP,T_4000,1.428
2021,SGP,T_4000,1.854
2022,SGP,T_4000,1.576
2023,SGP,T_4000,1.701
1990,ZAF,T_4000,0.346
1991,ZAF,T_4000,0.306
1992,ZAF,T_4000,0.268
1993,ZAF,T_4000,0.288
1994,ZAF,T_4000,0.366
1995,ZAF,T_4000,0.342
1996,ZAF,T_4000,0.335
1997,ZAF,T_4000,0.333
1998,ZAF,T_4000,0.314
1999,ZAF,T_4000,0.401
2000,ZAF,T_4000,0.364
2001,ZAF,T_4000,0.378
2002,ZAF,T_4000,0.376
2003,ZAF,T_4000,0.587
2004,ZAF,T_4000,1.014
2005,ZAF,T_4000,1.281
2006,ZAF,T_4000,0.834
2007,ZAF,T_4000,1.308
2008,ZAF,T_4000,1.277
2009,ZAF,T_4000,1.279
2010,ZAF,T_4000,1.313
2011,ZAF,T_4000,1.27
2012,ZAF,T_4000,1.298
2013,ZAF,T_4000,1.33
2014,ZAF,T_4000,1.41
2015,ZAF,T_4000,1.337
2016,ZAF,T_4000,1.419
2017,ZAF,T_4000,1.576
2018,ZAF,T_4000,1.558
2019,ZAF,T_4000,1.641
2020,ZAF,T_4000,1.696
2021,ZAF,T_4000,1.081
2022,ZAF,T_4000,1.236
2013,BGR,T_1000,4.859
2014,BGR,T_1000,5.09
2015,BGR,T_1000,5.264
2016,BGR,T_1000,5.399
2017,BGR,T_1000,5.682
2018,BGR,T_1000,5.628
2019,BGR,T_1000,5.672
2020,BGR,T_1000,5.628
2021,BGR,T_1000,6.213
2022,BGR,T_1000,6.032
2023,BGR,T_1000,6.228
1990,CPV,T_1000,3.655
1991,CPV,T_1000,3.74
1992,CPV,T_1000,4.165
1993,CPV,T_1000,4.786
1994,CPV,T_1000,5.156
1995,CPV,T_1000,5.107
1996,CPV,T_1000,5.07
1997,CPV,T_1000,5.112
1998,CPV,T_1000,5.096
1999,CPV,T_1000,5.443
2000,CPV,T_1000,5.547
2001,CPV,T_1000,5.849
2002,CPV,T_1000,6.917
2003,CPV,T_1000,6.382
2004,CPV,T_1000,6.448
2005,CPV,T_1000,6.299
2006,CPV,T_1000,7.264
2007,CPV,T_1000,7.712
2008,CPV,T_1000,7.688
2009,CPV,T_1000,6.061
2010,CPV,T_1000,5.193
2011,CPV,T_1000,5.348
2012,CPV,T_1000,5.217
2013,CPV,T_1000,5.1
2014,CPV,T_1000,4.569
2015,CPV,T_1000,5.56
2016,CPV,T_1000,5.45
2017,CPV,T_1000,5.782
2018,CPV,T_1000,5.971
2019,CPV,T_1000,5.776
2020,CPV,T_1000,5.65
2021,CPV,T_1000,4.94
2022,CPV,T_1000,4.347
1993,CMR,T_1000,2.088
1994,CMR,T_1000,1.892
1995,CMR,T_1000,2.207
1996,CMR,T_1000,2.201
1997,CMR,T_1000,2.279
1998,CMR,T_1000,2.886
1999,CMR,T_1000,2.496
2000,CMR,T_1000,3.04
2001,CMR,T_1000,3.678
2002,CMR,T_1000,3.697
2003,CMR,T_1000,2.979
2004,CMR,T_1000,2.741
2005,CMR,T_1000,3.167
2006,CMR,T_1000,3.28
2007,CMR,T_1000,3.685
2008,CMR,T_1000,3.599
2009,CMR,T_1000,3.979
2010,CMR,T_1000,3.128
2011,CMR,T_1000,3.503
2012,CMR,T_1000,4.14
2013,CMR,T_1000,4.162
2014,CMR,T_1000,4.364
2015,CMR,T_1000,4.557
2016,CMR,T_1000,3.848
2017,CMR,T_1000,3.538
2018,CMR,T_1000,3.821
2019,CMR,T_1000,3.795
2020,CMR,T_1000,3.677
2021,CMR,T_1000,3.645
2022,CMR,T_1000,4.24
2007,CHN,T_1000,4.511
2008,CHN,T_1000,4.759
2009,CHN,T_1000,4.571
2010,CHN,T_1000,4.522
2011,CHN,T_1000,5.02
2012,CHN,T_1000,5.149
2013,CHN,T_1000,5.343
2014,CHN,T_1000,5.479
2015,CHN,T_1000,5.635
2016,CHN,T_1000,5.669
2017,CHN,T_1000,5.782
2018,CHN,T_1000,5.859
2019,CHN,T_1000,5.384
2020,CHN,T_1000,5.263
2021,CHN,T_1000,5.361
2022,CHN,T_1000,5.265
2023,CHN,T_1000,4.726
1995,HRV,T_1000,6.024
1996,HRV,T_1000,6.659
1997,HRV,T_1000,6.226
1998,HRV,T_1000,7.039
1999,HRV,T_1000,6.472
2000,HRV,T_1000,5.468
2001,HRV,T_1000,5.106
2002,HRV,T_1000,5.569
2003,HRV,T_1000,5.509
2004,HRV,T_1000,5.464
2005,HRV,T_1000,5.665
2006,HRV,T_1000,6.283
2007,HRV,T_1000,6.794
2008,HRV,T_1000,6.618
2009,HRV,T_1000,6.599
2010,HRV,T_1000,5.87
2011,HRV,T_1000,5.629
2012,HRV,T_1000,5.54
2013,HRV,T_1000,5.884
2014,HRV,T_1000,5.548
2015,HRV,T_1000,5.401
2016,HRV,T_1000,5.814
2017,HRV,T_1000,5.577
2018,HRV,T_1000,5.766
2019,HRV,T_1000,5.925
2020,HRV,T_1000,5.895
2021,HRV,T_1000,5.193
2022,HRV,T_1000,6.475
2000,MAR,T_1000,5.294
2001,MAR,T_1000,5.63
2002,MAR,T_1000,5.765
2003,MAR,T_1000,6.051
2004,MAR,T_1000,6.265
2005,MAR,T_1000,7.125
2006,MAR,T_1000,7.551
2007,MAR,T_1000,8.35
2008,MAR,T_1000,10.337
2009,MAR,T_1000,8.613
2010,MAR,T_1000,7.378
2011,MAR,T_1000,7.783
2012,MAR,T_1000,8.426
2013,MAR,T_1000,7.784
2014,MAR,T_1000,7.623
2015,MAR,T_1000,7.323
2016,MAR,T_1000,7.687
2017,MAR,T_1000,8.04
2018,MAR,T_1000,8.034
2019,MAR,T_1000,7.927
2020,MAR,T_1000,8.28
2021,MAR,T_1000,7.709
2022,MAR,T_1000,9.216
1995,ROU,T_1000,10.636
1996,ROU,T_1000,9.829
1997,ROU,T_1000,9.51
1998,ROU,T_1000,8.305
1999,ROU,T_1000,7.351
2000,ROU,T_1000,6.698
2001,ROU,T_1000,5.865
2002,ROU,T_1000,5.363
2003,ROU,T_1000,5.845
2004,ROU,T_1000,6.209
2005,ROU,T_1000,5.09
2006,ROU,T_1000,5.76
2007,ROU,T_1000,6.222
2008,ROU,T_1000,6.137
2009,ROU,T_1000,5.665
2010,ROU,T_1000,5.329
2011,ROU,T_1000,5.462
2012,ROU,T_1000,5.158
2013,ROU,T_1000,5.527
2014,ROU,T_1000,5.77
2015,ROU,T_1000,6.189
2016,ROU,T_1000,6.124
2017,ROU,T_1000,5.761
2018,ROU,T_1000,4.545
2019,ROU,T_1000,4.521
2020,ROU,T_1000,4.384
2021,ROU,T_1000,4.795
2022,ROU,T_1000,5.901
1997,SEN,T_1000,2.555
1998,SEN,T_1000,2.665
1999,SEN,T_1000,2.472
2000,SEN,T_1000,2.898
2001,SEN,T_1000,2.589
2002,SEN,T_1000,2.866
2003,SEN,T_1000,2.979
2004,SEN,T_1000,3.2
2005,SEN,T_1000,3.528
2006,SEN,T_1000,3.428
2007,SEN,T_1000,3.313
2008,SEN,T_1000,3.499
2009,SEN,T_1000,3.623
2010,SEN,T_1000,4.114
2011,SEN,T_1000,3.969
2012,SEN,T_1000,4.259
2013,SEN,T_1000,4.0
2014,SEN,T_1000,4.077
2015,SEN,T_1000,4.145
2016,SEN,T_1000,4.578
2017,SEN,T_1000,4.458
2018,SEN,T_1000,4.699
2019,SEN,T_1000,5.182
2020,SEN,T_1000,5.086
2021,SEN,T_1000,5.11
2022,SEN,T_1000,5.857
2000,SGP,T_1000,8.019
2001,SGP,T_1000,8.27
2002,SGP,T_1000,6.873
2003,SGP,T_1000,5.882
2004,SGP,T_1000,5.783
2005,SGP,T_1000,5.923
2006,SGP,T_1000,5.795
2007,SGP,T_1000,5.982
2008,SGP,T_1000,7.143
2009,SGP,T_1000,5.825
2010,SGP,T_1000,5.568
2011,SGP,T_1000,5.78
2012,SGP,T_1000,6.033
2013,SGP,T_1000,5.68
2014,SGP,T_1000,5.909
2015,SGP,T_1000,5.833
2016,SGP,T_1000,5.851
2017,SGP,T_1000,6.675
2018,SGP,T_1000,6.002
2019,SGP,T_1000,6.341
2020,SGP,T_1000,6.711
2021,SGP,T_1000,6.021
2022,SGP,T_1000,6.014
2023,SGP,T_1000,7.161
1990,ZAF,T_1000,12.231
1991,ZAF,T_1000,11.592
1992,ZAF,T_1000,10.951
1993,ZAF,T_1000,10.368
1994,ZAF,T_1000,10.525
1995,ZAF,T_1000,10.526
1996,ZAF,T_1000,11.255
1997,ZAF,T_1000,11.529
1998,ZAF,T_1000,12.35
1999,ZAF,T_1000,12.216
2000,ZAF,T_1000,11.393
2001,ZAF,T_1000,12.569
2002,ZAF,T_1000,11.795
2003,ZAF,T_1000,11.251
2004,ZAF,T_1000,11.073
2005,ZAF,T_1000,11.987
2006,ZAF,T_1000,12.738
2007,ZAF,T_1000,13.545
2008,ZAF,T_1000,14.199
2009,ZAF,T_1000,12.803
2010,ZAF,T_1000,12.047
2011,ZAF,T_1000,12.387
2012,ZAF,T_1000,12.56
2013,ZAF,T_1000,12.674
2014,ZAF,T_1000,13.141
2015,ZAF,T_1000,13.683
2016,ZAF,T_1000,13.433
2017,ZAF,T_1000,13.704
2018,ZAF,T_1000,13.657
2019,ZAF,T_1000,13.583
2020,ZAF,T_1000,12.768
2021,ZAF,T_1000,14.185
2022,ZAF,T_1000,14.549
2013,BGR,_T,28.132
2014,BGR,_T,28.399
2015,BGR,_T,28.863
2016,BGR,_T,29.184
2017,BGR,_T,29.841
2018,BGR,_T,29.72
2019,BGR,_T,30.464
2020,BGR,_T,30.348
2021,BGR,_T,30.667
2022,BGR,_T,31.059
2023,BGR,_T,29.924
1990,CPV,_T,10.451
1991,CPV,_T,12.316
1992,CPV,_T,14.136
1993,CPV,_T,14.739
1994,CPV,_T,14.918
1995,CPV,_T,15.261
1996,CPV,_T,14.967
1997,CPV,_T,14.567
1998,CPV,_T,14.852
1999,CPV,_T,15.286
2000,CPV,_T,15.558
2001,CPV,_T,16.937
2002,CPV,_T,19.273
2003,CPV,_T,19.091
2004,CPV,_T,20.291
2005,CPV,_T,20.394
2006,CPV,_T,23.807
2007,CPV,_T,25.569
2008,CPV,_T,26.262
2009,CPV,_T,19.259
2010,CPV,_T,17.301
2011,CPV,_T,18.402
2012,CPV,_T,16.645
2013,CPV,_T,16.759
2014,CPV,_T,15.943
2015,CPV,_T,17.648
2016,CPV,_T,17.465
2017,CPV,_T,18.205
2018,CPV,_T,19.583
2019,CPV,_T,18.694
2020,CPV,_T,18.736
2021,CPV,_T,17.788
2022,CPV,_T,18.257
1993,CMR,_T,7.238
1994,CMR,_T,7.409
1995,CMR,_T,9.213
1996,CMR,_T,9.31
1997,CMR,_T,9.481
1998,CMR,_T,10.131
1999,CMR,_T,9.975
2000,CMR,_T,10.8
2001,CMR,_T,11.929
2002,CMR,_T,11.02
2003,CMR,_T,11.203
2004,CMR,_T,10.461
2005,CMR,_T,11.036
2006,CMR,_T,11.494
2007,CMR,_T,12.021
2008,CMR,_T,11.988
2009,CMR,_T,12.266
2010,CMR,_T,11.548
2011,CMR,_T,12.478
2012,CMR,_T,12.985
2013,CMR,_T,13.559
2014,CMR,_T,13.837
2015,CMR,_T,14.115
2016,CMR,_T,13.693
2017,CMR,_T,14.003
2018,CMR,_T,14.171
2019,CMR,_T,13.863
2020,CMR,_T,12.833
2021,CMR,_T,13.337
2022,CMR,_T,14.041
2007,CHN,_T,16.639
2008,CHN,_T,16.718
2009,CHN,_T,16.788
2010,CHN,_T,17.462
2011,CHN,_T,18.102
2012,CHN,_T,18.376
2013,CHN,_T,18.31
2014,CHN,_T,18.173
2015,CHN,_T,17.782
2016,CHN,_T,17.125
2017,CHN,_T,17.037
2018,CHN,_T,16.71
2019,CHN,_T,21.664
2020,CHN,_T,19.664
2021,CHN,_T,20.599
2022,CHN,_T,19.574
2023,CHN,_T,20.436
1995,HRV,_T,41.914
1996,HRV,_T,42.422
1997,HRV,_T,40.953
1998,HRV,_T,42.004
1999,HRV,_T,40.81
2000,HRV,_T,39.576
2001,HRV,_T,38.274
2002,HRV,_T,37.978
2003,HRV,_T,37.376
2004,HRV,_T,36.648
2005,HRV,_T,36.541
2006,HRV,_T,37.295
2007,HRV,_T,37.771
2008,HRV,_T,37.618
2009,HRV,_T,36.877
2010,HRV,_T,36.338
2011,HRV,_T,35.793
2012,HRV,_T,36.322
2013,HRV,_T,36.876
2014,HRV,_T,37.182
2015,HRV,_T,37.554
2016,HRV,_T,37.931
2017,HRV,_T,37.789
2018,HRV,_T,38.299
2019,HRV,_T,38.438
2020,HRV,_T,37.567
2021,HRV,_T,36.739
2022,HRV,_T,37.223
2000,MAR,_T,20.343
2001,MAR,_T,20.992
2002,MAR,_T,21.014
2003,MAR,_T,20.703
2004,MAR,_T,21.008
2005,MAR,_T,22.979
2006,MAR,_T,24.179
2007,MAR,_T,26.389
2008,MAR,_T,28.693
2009,MAR,_T,25.599
2010,MAR,_T,25.528
2011,MAR,_T,26.227
2012,MAR,_T,27.262
2013,MAR,_T,25.961
2014,MAR,_T,25.655
2015,MAR,_T,24.586
2016,MAR,_T,25.444
2017,MAR,_T,25.867
